Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1104533393,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1104535526,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1104593307,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1104595011,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1104653425,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1104655642,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1104695122,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1104713375,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1104715012,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1104773313,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1104775532,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1104833375,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1104835236,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1104893394,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1104895256,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1104953404,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1104956038,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105013438,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105015236,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105073378,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105075516,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105133414,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105135532,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105193326,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105195100,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1105195334,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105253384,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105255971,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105313418,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105314983,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105373358,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105375512,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105433384,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105435219,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105493415,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105495237,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105553337,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105556022,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105613364,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105615228,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105673393,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105675503,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105695090,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1105733411,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105735208,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105793334,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105795216,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105853406,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105855999,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105913425,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105915187,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1105973337,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1105975493,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106033406,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106035187,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106093346,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106095207,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106153414,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106156016,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106195069,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1106213423,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106215199,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106273354,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106275472,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106333406,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106335189,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106393455,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106395196,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106453404,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106455973,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106513438,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106515177,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106573358,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106575476,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106633418,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106635176,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106693464,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106695070,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1106695283,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106753393,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106755995,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106813433,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106815197,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106873355,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106875177,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106933425,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106935170,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1106993337,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1106995175,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107053365,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107056039,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107113414,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107115157,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107173455,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107175453,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107195039,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1107233392,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107235168,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107293431,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107295176,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107353385,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107356040,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107413417,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107415177,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107473464,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107475445,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107533398,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107535157,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107593445,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107595168,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107653397,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107656061,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107695030,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1107713423,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107715161,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107773484,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107775424,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107833392,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107835136,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107893444,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107895148,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1107983473,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1107995161,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108043471,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108045138,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108103437,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108105437,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108163473,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108165138,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108195017,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1108223431,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108235433,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108283436,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108286101,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108343457,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108355603,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108403437,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108415121,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108463464,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108465102,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108553425,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108556118,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108613428,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108615176,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108673493,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108675413,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1108694993,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1108733357,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108735121,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1108793434,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108795138,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108853365,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108855907,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108913398,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108915097,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1108973477,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1108975414,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1109033369,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109035414,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1109093444,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109095129,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1109153360,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109155168,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1109194996,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1109213452,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109215129,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1109273372,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109275453,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1109333443,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109335445,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1109393494,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109395118,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1109453455,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109456063,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1109513463,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109515081,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1109603398,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109615088,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1109663434,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109665057,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1109694984,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1109723580,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109725102,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1109783453,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109795097,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1109843483,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109845188,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1109903396,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109905432,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1109963456,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1109965059,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1110053425,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110056037,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1110113476,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110115377,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1110194951,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1110203462,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110215069,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1110293487,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110295077,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1110353444,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110355088,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1110413477,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110415072,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1110473405,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110475464,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1110533477,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110535058,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1110593415,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110595136,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1110653458,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110656009,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
1110694926,17F00010,true,Rx,0,8,20,10,00,00,00,00,00,00,
1110713510,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110715366,000007E8,false,Rx,0,8,04,62,F4,52,1B,AA,AA,AA,
1110773516,000007E0,false,Rx,0,8,03,22,F4,52,00,00,00,00,
1110775077,000007E8,false,Rx,0,8,04,62,F4,52,1C,AA,AA,AA,
